, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,,,,
Data Source, http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   ,,,,,,,,,,,
Apr-02," 12,067 "," 1,561 ", 629 , 255 ," 14,512 "," 17,595 ", 811 ," 1,506 ", 118 ," 20,030 ",,,,,,,,,,,
May-02," 14,209 "," 1,967 ", 791 , 315 ," 17,282 "," 18,330 "," 1,117 "," 1,390 ", 162 ," 20,999 ",,,,,,,,,,,
Jun-02," 14,549 "," 1,488 ", 685 , 228 ," 16,950 "," 15,757 ", 910 ," 1,308 ", 170 ," 18,145 ",,,,,,,,,,,
Jul-02," 15,163 "," 1,750 ", 729 , 185 ," 17,827 "," 11,600 ", 837 ," 1,064 ", 127 ," 13,628 ",,,,,,,,,,,
Aug-02," 16,345 "," 2,374 ", 799 , 278 ," 19,796 "," 15,279 ", 666 ," 1,202 ", 136 ," 17,283 ",,,,,,,,,,,
Sep-02," 14,911 "," 2,219 ", 707 , 480 ," 18,317 "," 15,505 ", 667 , 967 , 158 ," 17,297 ",,,,,,,,,,,
Oct-02," 14,967 "," 2,948 ", 914 , 298 ," 19,127 "," 16,061 ", 900 , 714 , 118 ," 17,793 ",,,,,,,,,,,
Nov-02," 9,957 "," 1,400 ", 743 , 225 ," 12,325 "," 11,593 ", 524 , 900 , 102 ," 13,119 ",,,,,,,,,,,
Dec-02," 7,552 "," 1,666 ", 717 , 202 ," 10,137 "," 11,405 ", 645 ," 1,110 ", 131 ," 13,291 ",,,,,,,,,,,
Jan-03," 9,485 "," 1,751 ", 713 , 348 ," 12,297 "," 13,622 ", 587 ," 1,064 ", 146 ," 15,419 ",,,,,,,,,,,
Feb-03," 9,228 "," 1,713 ", 751 , 323 ," 12,015 "," 13,418 ", 779 ," 1,095 ", 143 ," 15,435 ",,,,,,,,,,,
Mar-03," 9,946 "," 1,739 ", 832 , 388 ," 12,905 "," 14,726 "," 1,065 "," 1,094 ", 82 ," 16,967 ",,,,,,,,,,,
Apr-03," 11,701 "," 2,063 ", 683 , 416 ," 14,863 "," 13,728 "," 1,190 ", 911 , 104 ," 15,933 ",,,,,,,,,,,
May-03," 12,366 "," 1,744 ", 714 , 440 ," 15,264 "," 14,160 "," 1,425 ", 910 , 65 ," 16,560 ",,,,,,,,,,,
Jun-03," 13,055 "," 1,476 ", 663 , 361 ," 15,555 "," 15,156 "," 1,290 ", 987 , 165 ," 17,598 ",,,,,,,,,,,
